id,code,SMILES,mechanism_id
2385.0,CzP-BDTO,CCC(COC1=C2C(C=C(S2(=O)=O)C3=CC=C(N4C5=C(C6=C4C=CC=C6)C=CC=C5)C=C3)=C(C7=C1C=C(C8=CC=C(N9C%10=C(C%11=C9C=CC=C%11)C=CC=C%10)C=C8)S7(=O)=O)OCC(CC)CCCC)CCCC,ICT
2386.0,PCz-BDTO,CCC(COC1=C2C(C=C(S2(=O)=O)C3=CC=C(N(C4=CC=CC=C4)C5=C6C=CC=C5)C6=C3)=C(C7=C1C=C(C8=CC=C(C(C=CC=C9)=C9N%10C%11=CC=CC=C%11)C%10=C8)S7(=O)=O)OCC(CC)CCCC)CCCC,ICT
2401.0,TCzP-BDT,CCC(CCCC)COC1=C2C(C=C(C(C=C3)=CC=C3N4C5=C(C=C(C(C)(C)C)C=C5)C6=C4C=CC(C(C)(C)C)=C6)S2)=C(OCC(CCCC)CC)C7=C1C=C(S7)C(C=C8)=CC=C8N9C%10=C(C=C(C(C)(C)C)C=C%10)C%11=C9C=CC(C(C)(C)C)=C%11,ICT
2409.0,TPATPAN,N#C/C(C(C=C1)=CC=C1C(C=C2)=CC=C2N(C3=CC=CC=C3)C4=CC=CC=C4)=C(C5=CC=CC=C5)/C6=CC=CC=C6,ICT
2425.0,TPECa,N1(C(C=CC=C2)=C2C3=C1C=CC=C3)C4=CC=C(C=C4)/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)/C7=CC=CC=C7,ESIPT
2429.0,TTPECaP,C1(N2C3=CC=C(C4=CC=C(/C(C5=CC=CC=C5)=C(C6=CC=CC=C6)C7=CC=CC=C7)C=C4)C=C3)=C(C8=C2C=CC(C(C=C9)=CC=C9/C(C%10=CC=CC=C%10)=C(C%11=CC=CC=C%11)/C%12=CC=CC=C%12)=C8)C=C(C(C=C%13)=CC=C%13/C(C%14=CC=CC=C%14)=C(C%15=CC=CC=C%15)/C%16=CC=CC=C%16)C=C1,ESIPT
2430.0,Dt-BPITBT-TPE,CC(C)(C)C1=CC(N2C(C3=CC=C(C4=CC=C(C5=CC=C(/C(C6=CC=CC=C6)=C(C7=CC=CC=C7)/C8=CC=CC=C8)C=C5)C9=NSN=C49)S3)=NC%10=C2C(C=CC=C%11)=C%11C%12=C%10C=CC=C%12)=CC(C(C)(C)C)=C1,TICT
1.0,TPE-IQ-2O,CCC[n+]6cc4ccc(/C(=C(c1ccc(OC)cc1)\c2ccc(OC)cc2)c3ccccc3)cc4c(c5ccccc5)c6c7ccccc7,ICT
2.0,DBA-AM,CCCCN(CCCC)c1ccc(/C=N/C(C#N)=C(N)/C#N)cc1,ICT
3.0,DMA-AM,CN(C)c1ccc(/C=N/C(C#N)=C(N)/C#N)cc1,ICT
4.0,DEAH-AM,CCN(CC)c1ccc(/C=N/C(C#N)=C(N)/C#N)c(O)c1,ICT
5.0,TTE,c4csc(/C(=C(c1cccs1)/c2cccs2)c3cccs3)c4,neutral aromatic
